Number,Symbol,Price,Volatility,ADV
51,ATVI,60.71,0.31,7077200
52,AVB,208.84,0.29,800500
53,AVGO,262.9,0.28,2572100
54,AVY,120.36,0.27,656100
55,AWK,137.71,0.2,1273300
56,AXP,103.3,0.4,5097800
57,AZO,1148.3,0.2,312800
58,BA,231.01,0.4,7312700
59,BAC,23.61,0.34,69493300
60,BAX,82.98,0.35,2562200
61,BBY,70.12,0.27,2532300
62,BDX,237.31,0.36,2353400
63,BEN,20.15,0.28,6682500
64,BF/B,57.91,0.27,993400
65,BIIB,305.63,0.45,1995000
66,BK,36.55,0.35,6810900
67,BKNG,1559,0.26,638500
68,BKR,13.76,0.64,8011300
69,BLK,459,0.33,844500
70,BLL,72.96,0.18,2581600
71,BMY,57.93,0.19,14346100
72,BR,99.49,0.4,1137700
73,BRK/B,202.73,0.33,5802300
74,BSX,35.18,0.35,10060000
75,BWA,27.79,0.39,4578500
76,BXP,130.27,0.27,891100
77,C,55.58,0.49,18147400
78,CAG,27.86,0.24,4803700
79,CAH,49.71,0.39,3461200
80,CAT,106.49,0.27,4344200
81,CB,139.1,0.26,2139600
82,CBOE,111.27,0.25,909200
83,CBRE,52.61,0.24,1608100
84,CCI,159.35,0.37,2265900
85,CCL,24.02,0.43,13390000
86,CDNS,62.92,0.31,2071900
87,CDW,104.09,0.38,1336500
88,CE,86.26,0.43,1070700
89,CERN,69.14,0.27,2606400
90,CF,30.73,0.39,3244200
91,CFG,25.41,0.42,5393300
92,CHD,72.77,0.26,1860800
93,CHRW,64.78,0.21,1811600
94,CHTR,476.76,0.28,1697100
95,CI,197.77,0.34,2696100
96,CINF,95.99,0.4,864500
97,CL,71.81,0.32,5335300
98,CLX,175,0.18,1931600
99,CMA,40.24,0.53,2345800
100,CMCSA,39.1105,0.26,24841600
