Date,SP500,Rf
12/31/19,3230.78,1.549
12/30/19,3221.29,1.533
12/27/19,3240.02,1.556
12/26/19,3239.91,1.573
12/24/19,3223.38,1.573
12/23/19,3224.01,1.562
12/20/19,3221.22,1.569
12/19/19,3205.37,1.564
12/18/19,3191.14,1.559
12/17/19,3192.52,1.555
12/16/19,3191.45,1.561
12/13/19,3168.8,1.56
12/12/19,3168.57,1.551
12/11/19,3141.63,1.564
12/10/19,3132.52,1.55
12/9/19,3135.96,1.537
12/6/19,3145.91,1.516
12/5/19,3117.43,1.536
12/4/19,3112.76,1.544
12/3/19,3093.2,1.563
12/2/19,3113.87,1.566
11/29/19,3140.98,1.575
11/27/19,3153.63,1.596
11/26/19,3140.52,1.587
11/25/19,3133.64,1.586
11/22/19,3110.29,1.583
11/21/19,3103.54,1.569
11/20/19,3108.46,1.56
11/19/19,3120.18,1.559
11/18/19,3122.03,1.556
11/15/19,3120.46,1.564
11/14/19,3096.63,1.565
11/13/19,3094.04,1.571
11/12/19,3091.84,1.568
11/8/19,3093.08,1.55
11/7/19,3085.18,1.558
11/6/19,3076.78,1.553
11/5/19,3074.62,1.549
11/4/19,3078.27,1.538
11/1/19,3066.91,1.516
10/31/19,3037.56,1.535
10/30/19,3046.77,1.582
10/29/19,3036.89,1.612
10/28/19,3039.42,1.637
10/25/19,3022.55,1.668
10/24/19,3010.29,1.665
10/23/19,3004.52,1.658
10/22/19,2995.99,1.65
10/21/19,3006.72,1.661
10/18/19,2986.2,1.665
10/17/19,2997.95,1.668
10/16/19,2989.69,1.66
10/15/19,2995.68,1.657
10/11/19,2970.27,1.67
10/10/19,2938.13,1.677
10/9/19,2919.4,1.683
10/8/19,2893.06,1.683
10/7/19,2938.79,1.713
10/4/19,2952.01,1.694
10/3/19,2910.63,1.702
10/2/19,2887.61,1.744
10/1/19,2940.25,1.78
9/30/19,2976.74,1.816
9/27/19,2961.79,1.789
9/26/19,2977.62,1.814
9/25/19,2984.87,1.89
9/24/19,2966.6,1.915
9/23/19,2991.78,1.894
9/20/19,2992.07,1.905
9/19/19,3006.79,1.922
9/18/19,3006.73,1.935
9/17/19,3005.7,1.977
9/16/19,2997.96,1.984
9/13/19,3007.39,1.96
9/12/19,3009.57,1.955
9/11/19,3000.93,1.949
9/10/19,2979.39,1.94
9/9/19,2978.43,1.951
9/6/19,2978.71,1.953
9/5/19,2976,1.956
9/4/19,2937.78,1.948
9/3/19,2906.27,1.956
8/30/19,2926.46,1.983
8/29/19,2924.58,1.985
8/28/19,2887.94,1.985
8/27/19,2869.16,1.977
8/26/19,2878.38,1.982
8/23/19,2847.11,1.96
8/22/19,2922.95,1.986
8/21/19,2924.43,1.974
8/20/19,2900.51,1.91
8/19/19,2923.65,1.901
8/16/19,2888.68,1.865
8/15/19,2847.6,1.883
8/14/19,2840.6,1.944
8/13/19,2926.32,1.989
8/12/19,2883.75,1.976
8/9/19,2918.65,1.989
8/8/19,2938.09,2.011
8/7/19,2883.98,2.015
8/6/19,2881.77,2.033
8/5/19,2844.74,2.005
8/2/19,2932.05,2.056
8/1/19,2953.56,2.078
7/31/19,2980.38,2.065
7/30/19,3013.18,2.067
7/29/19,3020.97,2.103
7/26/19,3025.86,2.116
7/25/19,3003.67,2.103
7/24/19,3019.56,2.095
7/23/19,3005.47,2.046
7/22/19,2985.03,2.071
7/19/19,2976.61,2.068
7/18/19,2995.11,2.027
7/17/19,2984.42,2.118
7/16/19,3004.04,2.148
7/15/19,3014.3,2.132
7/12/19,3013.77,2.134
7/11/19,2999.91,2.142
7/10/19,2993.07,2.174
7/9/19,2979.63,2.243
7/8/19,2975.95,2.233
7/5/19,2990.41,2.219
7/3/19,2995.82,2.205
7/2/19,2973.01,2.184
7/1/19,2964.33,2.112
6/28/19,2941.76,2.093
6/27/19,2924.92,2.139
6/26/19,2913.78,2.144
6/25/19,2917.38,2.123
6/24/19,2945.35,2.109
6/21/19,2950.46,2.107
6/20/19,2954.18,2.132
6/19/19,2926.46,2.164
6/18/19,2917.75,2.216
6/17/19,2889.67,2.182
6/14/19,2886.98,2.172
6/13/19,2891.64,2.176
6/12/19,2879.84,2.217
6/11/19,2885.72,2.25
6/10/19,2886.73,2.274
6/7/19,2873.34,2.272
6/6/19,2843.49,2.308
6/5/19,2826.15,2.34
6/4/19,2803.27,2.342
6/3/19,2744.45,2.328
5/31/19,2752.06,2.342
5/30/19,2788.86,2.367
5/29/19,2783.02,2.349
5/28/19,2802.39,2.345
5/24/19,2826.06,2.338
5/23/19,2822.24,2.354
5/22/19,2856.27,2.367
5/21/19,2864.36,2.371
5/20/19,2840.23,2.37
5/17/19,2859.53,2.378
5/16/19,2876.32,2.389
5/15/19,2850.96,2.397
5/14/19,2834.41,2.394
5/13/19,2811.87,2.402
5/10/19,2881.4,2.421
5/9/19,2870.72,2.421
5/8/19,2879.42,2.426
5/7/19,2884.05,2.415
5/6/19,2932.47,2.414
5/3/19,2945.64,2.422
5/2/19,2917.52,2.422
5/1/19,2923.73,2.412
4/30/19,2945.83,2.418
4/29/19,2943.03,2.41
4/26/19,2939.88,2.413
4/25/19,2926.17,2.417
4/24/19,2927.25,2.42
4/23/19,2933.68,2.432
4/22/19,2907.97,2.427
4/18/19,2905.03,2.414
4/17/19,2900.45,2.432
4/16/19,2907.06,2.421
4/15/19,2905.58,2.405
4/12/19,2907.41,2.426
4/11/19,2888.32,2.422
4/10/19,2888.21,2.414
4/9/19,2878.2,2.412
4/8/19,2895.77,2.415
4/5/19,2892.74,2.425
4/4/19,2879.39,2.425
4/3/19,2873.4,2.424
4/2/19,2867.24,2.415
4/1/19,2867.19,2.381
3/29/19,2834.4,2.389
3/28/19,2815.44,2.419
3/27/19,2805.37,2.425
3/26/19,2818.46,2.455
